feature,importance
delta_hrrr_gfs_06,2953.3886190243065
klga_hrrr_f06_c,2063.882678484544
knyc_hrrr_f06_c,1386.098248630762
delta_hrrr_gfs_07,907.6804682016373
day_of_year_sin,880.9167136698961
delta_hrrr_gfs_05,779.973938703537
delta_hrrr_rap_06,778.6972252726555
klga_hrrr_f05_c,660.7328625321388
rap_slope_57,625.6673351898789
klga_dp_dep,543.9777329908684
day_of_year,523.1997308433056
hrrr_slope_57,448.07935413718224
knyc_hrrr_f05_c,337.09850668907166
knyc_obs_pressure_mslp_hpa,274.74184450507164
doy_sin_1,273.0044260621071
knyc_dp_dep,246.46341244876385
klga_obs_wind_dir_sin,234.63624391239136
month_cat,231.78252005577087
gfs_slope_57,230.7132519632578
klga_rap_f07_c,218.77158372104168
klga_obs_pressure_mslp_hpa,176.63738568127155
delta_hrrr_rap_07,175.7942990064621
knyc_morning_max_temp_c,161.97251269221306
delta_hrrr_rap_05,160.98995757475495
klga_morning_avg_dewpoint_c,156.4370527267456
klga_gfs_f05_c,141.63143308833241
klga_rap_f06_c,120.11464565992355
klga_obs_wind_dir_cos,113.00034576654434
day_of_year_cos,112.90312697831541
klga_rap_f05_c,111.28263469040394
knyc_yesterday_high_c,109.50928649306297
knyc_morning_avg_temp_c,107.19109776616096
klga_gfs_f07_c,103.79087021201849
klga_obs_wind_speed_kts,96.14066545665264
klga_gfs_f06_c,81.65773198008537
klga_morning_avg_temp_c,76.7076136469841
klga_obs_dewpoint_c,75.36459416151047
knyc_morning_avg_dewpoint_c,69.49766309559345
klga_obs_temp_c,68.95209127664566
knyc_hrrr_f07_c,60.335862250998616
klga_hrrr_f07_c,58.02585741877556
knyc_morning_min_temp_c,49.89692476391792
knyc_obs_visibility_mi,46.25448024272919
month,42.01268994808197
klga_morning_max_temp_c,41.72751361131668
knyc_obs_temp_c,40.59108209609985
doy_cos_1,37.81623435020447
knyc_obs_dewpoint_c,37.70354466885328
cold_x_dp_knyc,34.00373029708862
knyc_obs_wind_dir_sin,26.682180285453796
knyc_obs_wind_speed_kts,26.025148034095764
klga_morning_min_temp_c,21.166324570775032
knyc_obs_wind_dir_cos,19.336637169122696
cold_x_dp_klga,15.79173994064331
knyc_obs_wind_dir_sin_isna,4.051830053329468
cold_x_mslp,3.318650007247925
data_quality_knyc_obs_hours,0.0
data_quality_klga_obs_hours,0.0
knyc_wind_speed_missing,0.0
knyc_obs_wind_dir_cos_isna,0.0
klga_obs_wind_dir_sin_isna,0.0
klga_obs_wind_dir_cos_isna,0.0
